external_id,first_name,last_name,full_name,display_name,short_name,team_id
4428617,T'Vondre,Sweat,T'Vondre Sweat,T'Vondre Sweat,T. Sweat,10
3115914,Jihad,Ward,Jihad Ward,Jihad Ward,J. Ward,10
2977681,Carlos,Watkins,Carlos Watkins,Carlos Watkins,C. Watkins,10
4431613,James,Williams,James Williams,James Williams,J. Williams,10
4685617,Kevin,Winston Jr.,Kevin Winston Jr.,Kevin Winston Jr.,K. Winston Jr.,10
4872841,Julius,Wood,Julius Wood,Julius Wood,J. Wood,10
3040572,Xavier,Woods,Xavier Woods,Xavier Woods,X. Woods,10
13848,Morgan,Cox,Morgan Cox,Morgan Cox,M. Cox,10
15153,Johnny,Hekker,Johnny Hekker,Johnny Hekker,J. Hekker,10
3124084,Joey,Slye,Joey Slye,Joey Slye,J. Slye,10
4361418,Will,Levis,Will Levis,Will Levis,W. Levis,10
3115922,Nick,Allegretti,Nick Allegretti,Nick Allegretti,N. Allegretti,28
4367180,Kazmeir,Allen,Kazmeir Allen,Kazmeir Allen,K. Allen,28
4048228,John,Bates,John Bates,John Bates,J. Bates,28
4035788,Tyler,Biadasz,Tyler Biadasz,Tyler Biadasz,T. Biadasz,28
4431506,Ja'Corey,Brooks,Ja'Corey Brooks,Ja'Corey Brooks,J. Brooks,28
3121409,Noah,Brown,Noah Brown,Noah Brown,N. Brown,28
3917849,Lawrence,Cager,Lawrence Cager,Lawrence Cager,L. Cager,28
4685030,Brandon,Coleman,Brandon Coleman,Brandon Coleman,B. Coleman,28
4685326,Josh,Conerly Jr.,Josh Conerly Jr.,Josh Conerly Jr.,J. Conerly Jr.,28
4262199,Sam,Cosmi,Sam Cosmi,Sam Cosmi,S. Cosmi,28
4575131,Jacory,Croskey-Merritt,Jacory Croskey-Merritt,Jacory Croskey-Merritt,J. Croskey-Merritt,28
4426348,Jayden,Daniels,Jayden Daniels,Jayden Daniels,J. Daniels,28
3121541,Michael,Deiter,Michael Deiter,Michael Deiter,M. Deiter,28
3068267,Austin,Ekeler,Austin Ekeler,Austin Ekeler,A. Ekeler,28
15835,Zach,Ertz,Zach Ertz,Zach Ertz,Z. Ertz,28
4035826,Demetric,Felton,Demetric Felton,Demetric Felton,D. Felton,28
